tag,val_mse,test_mse,test_mae,sharpe,turnover,costs_bps,alloc_mode
commod_alt_L252_H1_cross_6,0.00018569733583717607,0.0001337253299898589,0.008826797419204944,-1.0489099213481266,0.3418758130988212,10.0,dollar_neutral
commod_alt_L252_H1_cross_7,0.0006216336732904892,0.0005490900347637754,0.019429745728044005,-0.23343107133488736,0.248538453442355,10.0,dollar_neutral
commod_alt_L252_H1_crosslite_off_p16_s8_nocross,0.0002507840999896871,0.0001754625456699178,0.010239604633392357,-0.6910409888658134,0.30669745559826855,10.0,dollar_neutral
commod_alt_L252_H1_crosslite_on_p16_s8,0.0006216336732904892,0.0005490900347637754,0.019429745728044005,-0.23343107133488736,0.248538453442355,10.0,dollar_neutral
commod_alt_L252_H1_ivar_5,0.0028004382184008136,0.0024762154288014504,0.04211250831925772,-1.7029304795762954,0.6651088035839602,10.0,dollar_neutral
commod_alt_L252_H1_ivar_t2c128_t2c128,0.0010182711703237146,0.0008219291486330633,0.023411724262121247,-0.6439466543051984,0.5333154084070063,10.0,dollar_neutral
commod_alt_L252_H1_ivar_t2c160_t2c160,0.0012058744468959048,0.0014932599870821203,0.03450122705804623,-2.1308067132677038,0.6582734356445026,10.0,dollar_neutral
commod_alt_L252_H1_ivar_t2c192_t2c192,0.0010690328490454704,0.000975799656897117,0.026142781918368687,-3.309315445901479,0.6755885658709984,10.0,dollar_neutral
commod_alt_L252_H1_ivar_t2c64_t2c64,0.002820570458425209,0.0025918926623445457,0.04712759415672078,-1.3808489324717088,0.6013975423586563,10.0,dollar_neutral
commod_alt_L252_H1_ivar_t2c96_t2c96,0.0008413606046815403,0.000631737181579891,0.020426134117008225,-1.922246147925265,0.6780087730385423,10.0,dollar_neutral
commod_alt_L252_H1_patch_2,0.0002058439158645342,0.00012654131610841847,0.008510558494949728,-2.9753011723529723,0.5725424228220936,10.0,dollar_neutral
commod_alt_L252_H1_patch_3,0.00020059598500665743,0.00014830813863848496,0.009347860981536105,-0.32679929246663536,0.697233498459909,10.0,dollar_neutral
commod_alt_L252_H1_patch_4,0.00027393009622755926,0.00022323072719486142,0.011877110962400107,-1.2086673111935182,0.6913557699237897,10.0,dollar_neutral
commod_alt_L252_H1_patch_p16_s12,0.000231518191867508,0.00018061504616947253,0.010329722449546906,-1.980553696497968,0.6751569488608256,10.0,dollar_neutral
commod_alt_L252_H1_patch_p16_s16,0.0003000097076437669,0.00023009883603308258,0.011928569555767184,-2.660606945908544,0.663526452608346,10.0,dollar_neutral
commod_alt_L252_H1_patch_p16_s4,0.0002008121373364702,0.00014446062917018506,0.009163832458538738,-2.9390112578983847,0.6188963788553952,10.0,dollar_neutral
commod_alt_L252_H1_patch_p16_s8,0.00020059598500665743,0.00014830813863848496,0.009347860981536105,-0.32679929246663536,0.697233498459909,10.0,dollar_neutral
commod_alt_L252_H1_pointwise_1,0.00039208485031849705,0.00041376572311477267,0.017107178994674024,0.010914423320353988,0.03665500242316081,10.0,dollar_neutral
equities_L252_H1_cross_6,0.0002822244568960741,0.00019197073257961857,0.010094789912554658,-2.617112786948227,0.3692313289545054,10.0,dollar_neutral
equities_L252_H1_cross_7,0.0010274157975800335,0.0021145661674470072,0.04308855091692948,-1.5955591440674883,0.5380390920800718,10.0,dollar_neutral
equities_L252_H1_crosslite_off_p16_s8_nocross,0.0006575408260687254,0.0006503564023284566,0.02190684845392038,-1.1872287098089294,0.07853360882458779,10.0,dollar_neutral
equities_L252_H1_crosslite_on_p16_s8,0.0010274157975800335,0.0021145661674470072,0.04308855091692948,-1.5955591440674883,0.5380390920800718,10.0,dollar_neutral
equities_L252_H1_ivar_5,0.004268642544047907,0.0027837890807373322,0.04077932647304979,-1.8429424166245805,0.6233952058222794,10.0,dollar_neutral
equities_L252_H1_ivar_t2c128_t2c128,0.0018927449564216658,0.0011708935174095606,0.02665984197727099,-2.1834788462237555,0.5569098232387516,10.0,dollar_neutral
equities_L252_H1_ivar_t2c160_t2c160,0.0013534513636841439,0.0008411803879013459,0.022695533501414154,-2.482022538138241,0.598334865938676,10.0,dollar_neutral
equities_L252_H1_ivar_t2c192_t2c192,0.0016355577681679279,0.0010084992341569017,0.025369232972925492,-2.7838701499557588,0.593028083383313,10.0,dollar_neutral
equities_L252_H1_ivar_t2c64_t2c64,0.008504322089720517,0.00879593979122366,0.08584578157315853,-2.656554064816504,0.5448839415038224,10.0,dollar_neutral
equities_L252_H1_ivar_t2c96_t2c96,0.0013031094858888537,0.0008918681103728621,0.02347135170540105,-2.309182077741549,0.5531187782569332,10.0,dollar_neutral
equities_L252_H1_patch_2,0.0002520566313251038,0.00019041007272248734,0.010034340019017337,-2.372076663658291,0.6018500454226124,10.0,dollar_neutral
equities_L252_H1_patch_3,0.00031180738005787134,0.0002948940536695408,0.013091022352337355,-1.614933837405543,0.5250814526647269,10.0,dollar_neutral
equities_L252_H1_patch_4,0.00043728544187615626,0.00038403594785799773,0.015411555691648591,-2.963664317790879,0.5347830032296328,10.0,dollar_neutral
equities_L252_H1_patch_p16_s12,0.000331990182530717,0.0002608052645772243,0.012056263887628853,-2.459572261309362,0.5975485153662169,10.0,dollar_neutral
equities_L252_H1_patch_p16_s16,0.0004883072979282588,0.00027369121292244026,0.012364107021978992,-2.116156313150422,0.5380739167819049,10.0,dollar_neutral
equities_L252_H1_patch_p16_s4,0.0003623265729402192,0.00032144132777690317,0.014362664738677533,-2.319732420680408,0.5934467539983058,10.0,dollar_neutral
equities_L252_H1_patch_p16_s8,0.00031180738005787134,0.0002948940536695408,0.013091022352337355,-1.614933837405543,0.5250814526647269,10.0,dollar_neutral
equities_L252_H1_pointwise_1,0.00027191615299670957,0.00019616579378531823,0.010040277453056473,-0.394495280618684,0.10596024145104503,10.0,dollar_neutral
rates_credit_L252_H1_cross_6,0.0002260313103761291,0.00030043541050725264,0.015184157145798979,0.0630519077940821,0.09236211900963381,10.0,dollar_neutral
rates_credit_L252_H1_cross_7,0.00019069745030719787,0.00011981041130112468,0.009041760802735648,-1.943153797161205,0.38251551025452546,10.0,dollar_neutral
rates_credit_L252_H1_crosslite_off_p16_s8_nocross,0.0003831652720691636,0.00025099514818023165,0.013367014148596425,-3.5659998433941134,0.38841315008876903,10.0,dollar_neutral
rates_credit_L252_H1_crosslite_on_p16_s8,0.00019069745030719787,0.00011981041130112468,0.009041760802735648,-1.943153797161205,0.38251551025452546,10.0,dollar_neutral
rates_credit_L252_H1_ivar_5,0.0034021531901089475,0.00242710616399351,0.03945967964586635,-3.281431732660159,0.6346031570803077,10.0,dollar_neutral
rates_credit_L252_H1_ivar_t2c128_t2c128,0.0016314472450176254,0.002593419298360659,0.043891377199932,-3.804091461194299,0.6237802319228649,10.0,dollar_neutral
rates_credit_L252_H1_ivar_t2c160_t2c160,0.002018930550548248,0.0013671773141370703,0.029947980815951045,-2.4234171079882723,0.4232681799140914,10.0,dollar_neutral
rates_credit_L252_H1_ivar_t2c192_t2c192,0.001994593520066701,0.0014033699073762377,0.029295457792558887,-5.157719710991327,0.6345617392343785,10.0,dollar_neutral
rates_credit_L252_H1_ivar_t2c64_t2c64,0.0033130559895653278,0.0031802788986291406,0.04644681385378343,-2.1819061194884295,0.6634997395621552,10.0,dollar_neutral
rates_credit_L252_H1_ivar_t2c96_t2c96,0.0011021108366549015,0.000742704318330943,0.0217341704547534,-3.9342965442093045,0.6344246507399025,10.0,dollar_neutral
rates_credit_L252_H1_patch_2,0.00012528365459729685,9.734981320132089e-05,0.00813727218609456,-3.4835618773775203,0.6026000546987448,10.0,dollar_neutral
rates_credit_L252_H1_patch_3,0.00023388483077724231,0.00011033012073642431,0.008107768443109342,-4.148694199013996,0.5221961288517804,10.0,dollar_neutral
rates_credit_L252_H1_patch_4,0.0002509798487153603,0.0001339296580326983,0.008995601927487433,-4.548567937741736,0.6319441136544003,10.0,dollar_neutral
rates_credit_L252_H1_patch_p16_s12,0.00031643444890505634,0.0001282471027635098,0.008601959785708019,-3.622421595039197,0.5413627094925093,10.0,dollar_neutral
rates_credit_L252_H1_patch_p16_s16,0.00022618757975578774,0.00017853824496063048,0.010629653313134839,-4.087102231993196,0.6046014112494805,10.0,dollar_neutral
rates_credit_L252_H1_patch_p16_s4,0.00016609739213890862,9.020733585823568e-05,0.007348889176236952,-2.53940955377056,0.4265718802841899,10.0,dollar_neutral
rates_credit_L252_H1_patch_p16_s8,0.00023388483077724231,0.00011033012073642431,0.008107768443109342,-4.148694199013996,0.5221961288517804,10.0,dollar_neutral
rates_credit_L252_H1_pointwise_1,0.0002753858925643726,0.00010798810042411222,0.007730498931070963,-1.3360682460167739,0.11719183661405713,10.0,dollar_neutral
