tag,L,H,encoder,train_mse,val_mse,test_mse,test_mae,sharpe,turnover,epochs,elapsed_s,patch_len,stride,metric_for_plot
L128_H1_cross_6,128,1,cross,0.001804,0.000375,,,,,,696.3,,,0.000375
L128_H1_cross_7,128,1,cross,0.001096,0.0005,,,,,,339.8,,,0.0005
L128_H1_ivar_5,128,1,ivar,0.004071,0.00177,,,,,,36.6,,,0.00177
L128_H1_patch_2,128,1,patch,0.000376,0.000181,,,,,,1017.0,,,0.000181
L128_H1_patch_3,128,1,patch,0.000527,0.000241,,,,,,487.0,,,0.000241
L128_H1_patch_4,128,1,patch,0.000819,0.000454,,,,,,229.1,,,0.000454
L128_H1_pointwise_1,128,1,pointwise,0.000492,0.000441,,,,,,451.9,,,0.000441
L128_H5_cross_6,128,5,cross,0.00236,0.000979,,,,,,698.8,,,0.000979
L128_H5_cross_7,128,5,cross,0.000984,0.000407,,,,,,340.8,,,0.000407
L128_H5_ivar_5,128,5,ivar,0.003758,0.001423,,,,,,37.7,,,0.001423
L128_H5_patch_2,128,5,patch,0.000346,0.000198,,,,,,1003.2,,,0.000198
L128_H5_patch_3,128,5,patch,0.000517,0.00026,,,,,,477.0,,,0.00026
L128_H5_patch_4,128,5,patch,0.000803,0.000452,,,,,,226.2,,,0.000452
L128_H5_pointwise_1,128,5,pointwise,0.000558,0.000515,,,,,,442.5,,,0.000515
L128_H20_cross_6,128,20,cross,0.001353,0.000197,,,,,,585.3,,,0.000197
L128_H20_cross_7,128,20,cross,0.001072,0.000312,,,,,,312.0,,,0.000312
L128_H20_ivar_5,128,20,ivar,0.003891,0.001671,,,,,,35.6,,,0.001671
L128_H20_patch_2,128,20,patch,0.000375,0.000196,,,,,,931.9,,,0.000196
L128_H20_patch_3,128,20,patch,0.000502,0.000251,,,,,,479.3,,,0.000251
L128_H20_patch_4,128,20,patch,0.000741,0.000304,,,,,,226.0,,,0.000304
L128_H20_pointwise_1,128,20,pointwise,0.000488,0.000564,,,,,,439.6,,,0.000564
L252_H1_cross_6,252,1,cross,0.001102,0.000267,,,,,,1531.3,,,0.000267
L252_H1_cross_7,252,1,cross,0.000861,0.000192,,,,,,670.6,,,0.000192
L252_H1_ivar_5,252,1,ivar,0.004044,0.001739,,,,,,37.5,,,0.001739
L252_H1_patch_2,252,1,patch,0.000288,0.000223,,,,,,2260.8,,,0.000223
L252_H1_patch_3,252,1,patch,0.000428,0.000214,,,,,,980.8,,,0.000214
L252_H1_patch_4,252,1,patch,0.000489,0.00024,,,,,,457.9,,,0.00024
L252_H1_pointwise_1,252,1,pointwise,0.000441,0.000501,,,,,,1068.8,,,0.000501
L252_H5_cross_6,252,5,cross,0.00573,0.001648,,,,,,1523.5,,,0.001648
L252_H5_cross_7,252,5,cross,0.001056,0.000263,,,,,,668.5,,,0.000263
L252_H5_ivar_5,252,5,ivar,0.004502,0.002963,,,,,,35.9,,,0.002963
L252_H5_patch_2,252,5,patch,0.000273,0.000199,,,,,,2239.3,,,0.000199
L252_H5_patch_3,252,5,patch,0.000422,0.000222,,,,,,967.2,,,0.000222
L252_H5_patch_4,252,5,patch,0.000485,0.000283,,,,,,444.3,,,0.000283
L252_H5_pointwise_1,252,5,pointwise,0.000443,0.000394,,,,,,1077.0,,,0.000394
L252_H20_cross_6,252,20,cross,0.00573,0.000235,,,,,,1500.8,,,0.000235
L252_H20_cross_7,252,20,cross,0.000946,0.000304,,,,,,672.2,,,0.000304
L252_H20_ivar_5,252,20,ivar,0.004647,0.00242,,,,,,37.4,,,0.00242
L252_H20_patch_2,252,20,patch,0.000294,0.000182,,,,,,2226.9,,,0.000182
L252_H20_patch_3,252,20,patch,0.000381,0.000283,,,,,,962.0,,,0.000283
L252_H20_patch_4,252,20,patch,0.000637,0.000303,,,,,,443.9,,,0.000303
L252_H20_pointwise_1,252,20,pointwise,0.000425,0.000501,,,,,,1063.1,,,0.000501
