tag,L,H,encoder,train_mse,val_mse,test_mse,test_mae,sharpe,turnover,epochs,elapsed_s,patch_len,stride,metric_for_plot
L128_H1_cross_6,128,1,cross,0.001804,0.000375,0.000258,0.012865,,,,696.3,8.0,4.0,0.000258
L128_H1_cross_7,128,1,cross,0.001096,0.0005,0.000696,0.023817,,,,339.8,16.0,8.0,0.000696
L128_H1_ivar_5,128,1,ivar,0.004071,0.00177,0.001194,0.027518,,,,36.6,,,0.001194
L128_H1_patch_2,128,1,patch,0.000376,0.000181,0.000125,0.008186,,,,1017.0,8.0,4.0,0.000125
L128_H1_patch_3,128,1,patch,0.000527,0.000241,0.000167,0.00981,,,,487.0,16.0,8.0,0.000167
L128_H1_patch_4,128,1,patch,0.000819,0.000454,0.000252,0.01226,,,,229.1,32.0,16.0,0.000252
L128_H1_pointwise_1,128,1,pointwise,0.000492,0.000441,0.000399,0.016186,,,,451.9,,,0.000399
L128_H5_cross_6,128,5,cross,0.00236,0.000979,0.001077,0.029495,,,,698.8,8.0,4.0,0.001077
L128_H5_cross_7,128,5,cross,0.000984,0.000407,0.000361,0.016094,,,,340.8,16.0,8.0,0.000361
L128_H5_ivar_5,128,5,ivar,0.003758,0.001423,0.000981,0.024612,,,,37.7,,,0.000981
L128_H5_patch_2,128,5,patch,0.000346,0.000198,0.000122,0.008014,,,,1003.2,8.0,4.0,0.000122
L128_H5_patch_3,128,5,patch,0.000517,0.00026,0.000232,0.012137,,,,477.0,16.0,8.0,0.000232
L128_H5_patch_4,128,5,patch,0.000803,0.000452,0.000478,0.018455,,,,226.2,32.0,16.0,0.000478
L128_H5_pointwise_1,128,5,pointwise,0.000558,0.000565,0.000399,0.015682,,,,442.5,,,0.000399
L128_H20_cross_6,128,20,cross,0.001353,0.000197,0.000159,0.009521,,,,585.3,8.0,4.0,0.000159
L128_H20_cross_7,128,20,cross,0.001072,0.000312,0.000241,0.012158,,,,312.0,16.0,8.0,0.000241
L128_H20_ivar_5,128,20,ivar,0.003891,0.001671,0.001005,0.025061,,,,35.6,,,0.001005
L128_H20_patch_2,128,20,patch,0.000375,0.000238,0.000282,0.013615,,,,931.9,8.0,4.0,0.000282
L128_H20_patch_3,128,20,patch,0.000502,0.000251,0.000216,0.011508,,,,479.3,16.0,8.0,0.000216
L128_H20_patch_4,128,20,patch,0.000741,0.000304,0.000214,0.011051,,,,226.0,32.0,16.0,0.000214
L128_H20_pointwise_1,128,20,pointwise,0.000488,0.000564,0.000361,0.015275,,,,439.6,,,0.000361
L252_H1_cross_6,252,1,cross,0.001102,0.000437,0.000461,0.018814,,,,1531.3,8.0,4.0,0.000461
L252_H1_cross_7,252,1,cross,0.000861,0.000192,0.000149,0.009253,,,,670.6,16.0,8.0,0.000149
L252_H1_ivar_5,252,1,ivar,0.004044,0.001739,0.001304,0.02867,,,,37.5,,,0.001304
L252_H1_patch_2,252,1,patch,0.000288,0.000249,0.000239,0.012756,,,,2260.8,8.0,4.0,0.000239
L252_H1_patch_3,252,1,patch,0.000428,0.000214,0.000156,0.009532,,,,980.8,16.0,8.0,0.000156
L252_H1_patch_4,252,1,patch,0.000489,0.00024,0.000177,0.010211,,,,457.9,32.0,16.0,0.000177
L252_H1_pointwise_1,252,1,pointwise,0.000441,0.000672,0.000598,0.019574,,,,1068.8,,,0.000598
L252_H5_cross_6,252,5,cross,0.00573,0.008268,0.008462,0.089184,,,,1523.5,8.0,4.0,0.008462
L252_H5_cross_7,252,5,cross,0.001056,0.001779,0.001667,0.03913,,,,668.5,16.0,8.0,0.001667
L252_H5_ivar_5,252,5,ivar,0.004502,0.003144,0.003173,0.048203,,,,35.9,,,0.003173
L252_H5_patch_2,252,5,patch,0.000273,0.000236,0.00019,0.010953,,,,2239.3,8.0,4.0,0.00019
L252_H5_patch_3,252,5,patch,0.000422,0.000369,0.000369,0.016462,,,,967.2,16.0,8.0,0.000369
L252_H5_patch_4,252,5,patch,0.000485,0.000283,0.000235,0.012232,,,,444.3,32.0,16.0,0.000235
L252_H5_pointwise_1,252,5,pointwise,0.000443,0.00044,0.000338,0.014764,,,,1077.0,,,0.000338
L252_H20_cross_6,252,20,cross,0.00573,0.000235,0.000173,0.010015,,,,1500.8,8.0,4.0,0.000173
L252_H20_cross_7,252,20,cross,0.000946,0.000314,0.000265,0.012733,,,,672.2,16.0,8.0,0.000265
L252_H20_ivar_5,252,20,ivar,0.004647,0.00242,0.001955,0.035866,,,,37.4,,,0.001955
L252_H20_patch_2,252,20,patch,0.000294,0.000182,0.000133,0.00852,,,,2226.9,8.0,4.0,0.000133
L252_H20_patch_3,252,20,patch,0.000381,0.000283,0.000254,0.013062,,,,962.0,16.0,8.0,0.000254
L252_H20_patch_4,252,20,patch,0.000637,0.000303,0.000254,0.012414,,,,443.9,32.0,16.0,0.000254
L252_H20_pointwise_1,252,20,pointwise,0.000425,0.000501,0.000511,0.018068,,,,1063.1,,,0.000511
