alpha,gamma,encoder,val_mse,test_mse,test_mae,sharpe,turnover
0.0,0.5,cross_p16_s8,1.355732575058937,1.4136608457565307,0.9442928757667541,0.5424968131532925,0.258
0.0,0.5,ivar_t2c128,1.1704348921775818,1.2914597272872925,0.8939117498397827,4.350932015774117,0.35
0.0,0.5,patch_p16_s8,1.3587111681699753,1.49389661693573,0.9702906012535095,0.4304165792015227,0.476
0.2,0.5,cross_p16_s8,1.4382331371307373,1.5292272596359253,0.9845028886795044,1.364344115239935,0.242
0.2,0.5,ivar_t2c128,1.2062508463859558,1.304173233985901,0.9020076065063477,3.9438059350649133,0.41
0.2,0.5,patch_p16_s8,1.4073358178138733,1.5046643943786622,0.9731528911590576,0.052643816847303855,0.394
0.4,0.5,cross_p16_s8,1.550323098897934,1.8805848426818847,1.0980275783538818,0.1835107576083823,0.392
0.4,0.5,ivar_t2c128,1.2723638862371445,1.3337595272064209,0.9180247240066528,3.7070529756819854,0.436
0.4,0.5,patch_p16_s8,1.5777260065078735,1.7237857818603515,1.0382765626907349,0.3807229223610908,0.34
0.8,0.5,cross_p16_s8,2.219505026936531,2.5618630561828613,1.2451694774627686,0.34724295026365704,0.426
0.8,0.5,ivar_t2c128,1.3757725059986115,1.4489818601608275,0.9567718262672424,6.882946330168352,0.29
0.8,0.5,patch_p16_s8,2.2295308262109756,2.529736000061035,1.2291493425369262,0.5828034803611477,0.376
0.0,0.95,cross_p16_s8,4.288714915513992,4.511916078567505,1.678685715675354,8.670858996920368,0.102
0.0,0.95,ivar_t2c128,1.6445647776126862,1.814504388809204,1.0755011825561522,14.341225957094784,0.084
0.0,0.95,patch_p16_s8,3.909402161836624,4.465430337905884,1.6503009748458863,9.10845995791015,0.11
0.2,0.95,cross_p16_s8,11.201016426086426,8.999382270812989,2.3097121562957765,13.942529058371816,0.058
0.2,0.95,ivar_t2c128,2.915589302778244,3.0980291061401366,1.4253524627685548,15.452763329038417,0.03
0.2,0.95,patch_p16_s8,12.093433797359467,9.075639366149902,2.2582578125,12.638685883260534,0.086
0.4,0.95,cross_p16_s8,29.745499968528748,22.84603813171387,3.5081425971984865,15.756967817593372,0.03
0.4,0.95,ivar_t2c128,4.894348680973053,4.212863729476929,1.6184006538391114,17.77906068115823,0.014
0.4,0.95,patch_p16_s8,29.349703550338745,28.979018615722655,3.9287138862609865,14.662379261776039,0.054
0.8,0.95,cross_p16_s8,65.43697357177734,38.32869692993164,4.434275979995728,18.053120837921416,0.022
0.8,0.95,ivar_t2c128,25.018169313669205,7.580923564910889,2.096688585281372,18.596025700052667,0.018
0.8,0.95,patch_p16_s8,90.38255023956299,67.51510974121094,5.785446868896484,16.820043645947216,0.042
