+ python /home/snowden/Desktop/quant_portfolio_scaffold/scripts/run_synth_grid.py
[done] synth_a0.0_g0.5_patch_p16_s8: OK
[done] synth_a0.0_g0.5_ivar_t2c128: OK
[done] synth_a0.0_g0.5_cross_p16_s8: OK
[done] synth_a0.2_g0.5_patch_p16_s8: OK
[done] synth_a0.2_g0.5_ivar_t2c128: OK
[done] synth_a0.2_g0.5_cross_p16_s8: OK
[done] synth_a0.4_g0.5_patch_p16_s8: OK
[done] synth_a0.4_g0.5_ivar_t2c128: OK
[done] synth_a0.4_g0.5_cross_p16_s8: OK
[done] synth_a0.8_g0.5_patch_p16_s8: OK
[done] synth_a0.8_g0.5_ivar_t2c128: OK
[done] synth_a0.8_g0.5_cross_p16_s8: OK
[done] synth_a0.0_g0.95_patch_p16_s8: OK
[done] synth_a0.0_g0.95_ivar_t2c128: OK
[done] synth_a0.0_g0.95_cross_p16_s8: OK
[done] synth_a0.2_g0.95_patch_p16_s8: OK
[done] synth_a0.2_g0.95_ivar_t2c128: OK
[done] synth_a0.2_g0.95_cross_p16_s8: OK
[done] synth_a0.4_g0.95_patch_p16_s8: OK
[done] synth_a0.4_g0.95_ivar_t2c128: OK
[done] synth_a0.4_g0.95_cross_p16_s8: OK
[done] synth_a0.8_g0.95_patch_p16_s8: OK
[done] synth_a0.8_g0.95_ivar_t2c128: OK
[done] synth_a0.8_g0.95_cross_p16_s8: OK
[summary] ok=24 fail=0
